id,computerDnsName,onboardingStatus,ipAddresses
09828913b57f04d15278271528c5c8422a692a79,hqca007200-3244.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.171.139', 'macAddress': '1C697A39A35A', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::74f2:a2be:21cb:4fc5', 'macAddress': '1C697A39A35A', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
09bf17c1073d6b84b2a5e4326c9a24dcba5fb474,hqsopmgr19v.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.242.201', 'macAddress': '005056A14329', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::d036:7601:c94c:b55e', 'macAddress': '005056A14329', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0a0a694b536ef677b615b7efd6efd6e1b2ee0ae2,hqca005500-2440.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.55.107', 'macAddress': '94C691FEA6FA', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::5559:19f1:a287:95e1', 'macAddress': '94C691FEA6FA', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0a12994fd06046d5c0b82c7164f41373cb86d550,hqssql19p2.cpc.com.tw,Onboarded,"[{'ipAddress': '169.254.195.99', 'macAddress': 'D4F5EF1B36CA', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::f03a:6e18:ba1:c363', 'macAddress': 'D4F5EF1B36CA', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': '169.254.162.106', 'macAddress': 'D4F5EF1B36CB', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::b8e2:49c2:213a:a26a', 'macAddress': 'D4F5EF1B36CB', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': '169.254.170.5', 'macAddress': 'D4F5EF1B36C9', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::a006:804c:8ac2:aa05', 'macAddress': 'D4F5EF1B36C9', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': '169.254.2.229', 'macAddress': '02D39D4744C6', 'type': 'Tunnel', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::8431:c47:5dcd:e9ba', 'macAddress': '02D39D4744C6', 'type': 'Tunnel', 'operationalStatus': 'Up'}, {'ipAddress': '10.168.252.202', 'macAddress': 'D4F5EF1B36C8', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '10.168.252.159', 'macAddress': 'D4F5EF1B36C8', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::55fd:73dd:6eb1:a488', 'macAddress': 'D4F5EF1B36C8', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0a2c8c78e22656c771b1179b0806c6aa4b81f7c9,hqca005500-8917.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.55.133', 'macAddress': '94C691599659', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::8dd5:6ea2:d965:e1b5', 'macAddress': '94C691599659', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0a3f818c8f79cedf0f48a503caf5ccf70b68c9e1,hqca000502-9019.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.5.124', 'macAddress': '94C6915863A6', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::908e:954f:bd57:cbf2', 'macAddress': '94C6915863A6', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0a5d44afc953e26481208337681815de1f676f78,hqca002900-3144.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.29.145', 'macAddress': '1C697A39A476', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::e09a:2d6b:86fe:b1fa', 'macAddress': '1C697A39A476', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0c71c55edf23d9a1e07b728910f7858b46dc2367,hqsdb2cst.cpc.com.tw,Onboarded,"[{'ipAddress': '10.201.167.18', 'macAddress': '30E1717017D9', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::acfe:713b:82e1:5c72', 'macAddress': '30E1717017D9', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '169.254.201.166', 'macAddress': '30E1717017DA', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::50bb:450a:9f49:c9a6', 'macAddress': '30E1717017DA', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '169.254.108.8', 'macAddress': '30E1717017DB', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::247d:9b0a:8399:6c08', 'macAddress': '30E1717017DB', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '169.254.197.88', 'macAddress': '30E1717017D8', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::7936:4780:1213:c558', 'macAddress': '30E1717017D8', 'type': 'Ethernet', 'operationalStatus': 'Down'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::5efe:169.254.108.8', 'macAddress': '00000000000000E0', 'type': 'Tunnel', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::5efe:169.254.201.166', 'macAddress': '00000000000000E0', 'type': 'Tunnel', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::5efe:10.201.167.18', 'macAddress': '00000000000000E0', 'type': 'Tunnel', 'operationalStatus': 'Down'}]"
0cb82dafae58b4173cb1ab34b7dfd6d0dd25de25,hqca005500-5927.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.55.110', 'macAddress': '94C69163F66E', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '2001:b032:b:1055::55:110', 'macAddress': '94C69163F66E', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::96c6:91ff:fe63:f66e', 'macAddress': '94C69163F66E', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}]"
0ef326e76620c748476d6054559e7a79d9d95259,hqslg16v.cpc.com.tw,Onboarded,"[{'ipAddress': '10.168.252.44', 'macAddress': '00155D44D300', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::5d8a:ab13:2795:25c5', 'macAddress': '00155D44D300', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '10.168.249.44', 'macAddress': '00155D44D302', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::6956:1f21:93e1:c122', 'macAddress': '00155D44D302', 'type': 'Ethernet', 'operationalStatus': 'Up'}, {'ipAddress': '127.0.0.1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': '::1', 'macAddress': '', 'type': 'SoftwareLoopback', 'operationalStatus': 'Up'}, {'ipAddress': 'fe80::5efe:10.168.252.44', 'macAddress': '00000000000000E0', 'type': 'Tunnel', 'operationalStatus': 'Down'}, {'ipAddress': 'fe80::5efe:10.168.249.44', 'macAddress': '00000000000000E0', 'type': 'Tunnel', 'operationalStatus': 'Down'}]"
