id,osPlatform,computerDnsName
897ce5878df93ab1c0b95562516267e95c4d3b85,WindowsServer2016,hqsdocjagent.cpc.com.tw
8a5e0763f73c37a48bd5ba6359f24ba6de5ef1d4,WindowsServer2016,hqsotp16p2.cpc.com.tw
8a72150ee5a611a04077194d85a025f6b834f07b,WindowsServer2016,hqswwwp.cpc.com.tw
8af9ba1359cf18abd3e00809cc01467da7b5c101,Windows10,hqna616100-9834.cpc.com.tw
8b63b4a13d94ad8759d4d3a51fa2e1b5c903cfce,WindowsServer2012R2,hqsomsdbv.cpc.com.tw
8c5e2f4039ddbe416ef2d39ec594f74f98b73d92,Windows10,hqca616100-0439.cpc.com.tw
8d62a5af58f9248b6209e8554fdc508dca275ad5,WindowsServer2016,hqskm16p.cpc.com.tw
9195eed0d7ff9b6782c8410e7bd29ce1bc1c6931,Windows10,hqca001100-3187.cpc.com.tw
92bd910d46ffcda6f09ab7740f6f151e1547cec9,Windows10,hqca000100-7854.cpc.com.tw
92cb7e9859326f624d3fb33461e1177a4ffea807,Windows10,hqna007100-5814.cpc.com.tw
93d06335f0651b0dbc2cd3d59c5bbc65561abfce,Windows10,hqca001300-9809.cpc.com.tw
95008f668c97686998b4f3216de423192d2d633a,Windows10,tcnl50b60008.cpc.com.tw
96d8cda36ca9c3454300212ee1ffdb52f91d86d0,Windows10,tcnl50b57116.cpc.com.tw
97078c8445b15ca46a182dc4cf574d73a90b14a9,WindowsServer2016,hqsdoc16n5.cpc.com.tw
991125b8552446ab04631b95dd99ed76ffe92ca6,WindowsServer2012R2,hqsarcgistv.cpc.com.tw
9b7ddc6108301b554e80718c6408f97c93f7a84b,Windows10,hqna005500-3423.cpc.com.tw
9bc89e0085ec20d869f9dcf36a92764904708941,WindowsServer2016,hqssdcs
9c0adc4b74b5b76fcb21f1612f86fc801ee93bc2,Windows10,hqna000200-8101.cpc.com.tw
a0ce9a3145a6b3c4d990e3fad1c07e7a3884d255,Windows10,trcm7010116424n.cpc.com.tw
a79488a309b949d1a41f3eb49a8576d158827ed8,WindowsServer2012R2,hqsottst.cpc.com.tw
a82fa9d905b2c25815d6bb582796bad1a60dc744,WindowsServer2012R2,hqs2016sp1web.cpc.com.tw
a8c786048a97bd5d405934c9457e229c8161d84f,Windows10,hqca005600-2449.cpc.com.tw
a8e825cf1ba99479f46a89db341bc9d57ab91bd2,WindowsServer2012R2,hqsvr9.cpc.com.tw
aba0708e62181bbb61698b37f77b3fb11bc76013,WindowsServer2012R2,hqsvr10.cpc.com.tw
acc63142bc7c40310c42350eac5f58705ab50382,WindowsServer2012R2,hqssql.cpc.com.tw
b2d7226df4eef4950ec942df12fba6119224fa3d,Windows10,hqna005100-5821.cpc.com.tw
b81260e492b32ecbb123191fca8c6c8d223f2cfe,WindowsServer2016,hqsfile7.cpc.com.tw
bafa7422cfb764f8e033172e218bf3ad03134f11,Windows10,hqca005500-3127.cpc.com.tw
be50aa188723aa0bcd40567e73ed75402c1d8f0d,WindowsServer2016,hqssecu16p1.cpc.com.tw
bea67f91cc7f116c9100365eca65b255ccafbe1a,WindowsServer2016,hqsbcp16p.cpc.com.tw
bfa65a9867c00e2fcfa8c3dada8d45bd5ab4770e,WindowsServer2012R2,hqssql2014t.cpc.com.tw
c02721fa73e063c3ff81d93e3131bde744d849b8,WindowsServer2012R2,hqsrcc.cpc.com.tw
c02d12b6367eac5b4e4c1db35d97befcaa4676bd,Windows10,hqca000200-3109.cpc.com.tw
c0599e322f91b205af054953917951406970e184,WindowsServer2012R2,hqscwsap01t.cpc.com.tw
c060ff2771468bc5bb03a4936cfdc0e4336870bd,Windows10,hqca000031-3238.cpc.com.tw
c35faa3f229f8df8e06a29c5ce18e763b8a92973,Windows10,hqca000010-2564.cpc.com.tw
c590e278cb82ff82893ee2ec51422e06dd7f3414,WindowsServer2016,hqsdoc16n2.cpc.com.tw
c743aa3c7f9a6a30340bd331b44824e5e9a1a4eb,WindowsServer2012R2,hqsnsqldr.cpc.com.tw
c7578392f34f6576bb36b6b4c886852935e5c6fd,WindowsServer2012R2,hqscwsap01.cpc.com.tw
c85d8287c879a3656e80858d44d0199279d35167,Windows10,hqca007100-0700.cpc.com.tw
c928a1ba2b0ea9558f9521dfdad86c8a4fa0944e,WindowsServer2016,hqsimo16p1.cpc.com.tw
cace5c77af377ef9a7f439e3930d1e56a6f0c452,WindowsServer2016,hqsotp16p1.cpc.com.tw
cbaab02dff3ad999b391c4f736ad629489da40a2,Windows10,hqna000020-9141
cbb1ba81a44d6fe7494c3e5a6af799ca50000e5e,WindowsServer2016,hqsdb2cs.cpc.com.tw
cc97840187762a88751d0543f967b191fc7e7722,WindowsServer2012R2,hqsepn1.cpc.com.tw
ccec463d1feff82afe4ce0dc4f08b2f26e591fa5,WindowsServer2016,hqsdoc16aps1.cpc.com.tw
cec8d247d652357dcc8f3f58947da16d836eba94,WindowsServer2016,hqsap05.cpc.com.tw
cf8ca1982d63036b4a1309564d78607e6559953d,WindowsServer2012R2,hqsomsapv.cpc.com.tw
d08127df0ea15ef3882e5a1a966ef9a4a904c22d,WindowsServer2012R2,hqskmap1.cpc.com.tw
d2a46ef2e1b38f2ae7e77c82f74e0aa6007ed235,WindowsServer2012R2,hqsomsp.cpc.com.tw
d2efc6aa29b5aba316211199ae8d768ce8198676,Windows10,hqca616100-3179.cpc.com.tw
d41fc84573e67567af6cff44e56309c855022bc1,WindowsServer2012R2,hqsisacp.cpc.com.tw
d420bb674b383027a918784979d8bda52ee6a8ef,WindowsServer2016,hqsdoc16n4.cpc.com.tw
d5cb1dc71957447a77c3693dfcf4265c1264bfe1,Windows10,hqca005700-3299.cpc.com.tw
db200f5f819234de451fc7cde40dd2b64d931ae6,WindowsServer2012R2,hqsepn2.cpc.com.tw
dc1ae6c84ddbecf005293dede4894fffa15bd33b,WindowsServer2016,hqsbd16apv.cpc.com.tw
dcaf2d3d7d1113370f8491ec3d503b471097631c,WindowsServer2016,hqsbd16etltv.cpc.com.tw
dccce37e21d9b8b3b64e1295408916636fd386f7,Windows10,tcnl50b60007.cpc.com.tw
dd51d10e2dbed45cbf95bee395042e01798fa29e,WindowsServer2019,hqst00web19p.cpc.com.tw
dd5e1b5b36ec2b473b2082ff0160c8e612f8074d,WindowsServer2016,hqswsus.cpc.com.tw
de4508730145571ec3dc0894a73b130a1cb4e27c,Windows10,hqca005600-7877.cpc.com.tw
debe6caa26838b671405c51b0c7916676730ac4d,Windows10,hqna001100-0727.cpc.com.tw
df626c497191f5d596bcc27118f381ff6867f52d,Windows10,hqca000200-8893.cpc.com.tw
e21b4f58b600af9afe5ac4b717301a87a782a61c,WindowsServer2012R2,hqsarcgis12v.cpc.com.tw
e406059fea7d23b9d84a9ac77196c48805fa814a,WindowsServer2012R2,hqsdocfile.cpc.com.tw
e41030bc5ef5e5b1da3080f8d1ec24c0d383de2e,WindowsServer2016,hqstmsec.cpc.com.tw
e580bf1b47fd2fa9ee2f8cbdf5f81f263ba7f091,Windows10,hqca005600-5901.cpc.com.tw
ebaf67a3dd9cfd63bc1ae0a0c02736df9926f338,Windows10,hqca005900-0523.cpc.com.tw
ebe09e25c52c10e9275fab2ae3e70f0051da57a1,WindowsServer2016,hqssyscenp.cpc.com.tw
ec985d4a42561bf3a5498ad040e08f3d9f12383c,Windows10,hqca007200-3246.cpc.com.tw
ef0fd8f1a58c1783fc0333b821b015b92b0d5b86,WindowsServer2016,hqsap05p.cpc.com.tw
ef58ce32654a9ac000bc700e71804c50995be2b3,WindowsServer2016,hqsdoctx.cpc.com.tw
f0bf8e05b7a7ade0b5dcba878d268220b4ab29f5,WindowsServer2016,hqsbd16etlv.cpc.com.tw
f141c4a06e816c22b3be54e90e9c660b7f0ecb3d,WindowsServer2019,hqst00webmg19v.cpc.com.tw
f14fa9f935cf02dc6fe7af73d37a2697082e8eaf,Windows10,hqna000100-3419.cpc.com.tw
f2b4918e1b7fecfe3a5d134dc1c98d3899f23e1d,WindowsServer2016,hqswwwyn2.cpc.com.tw
f2c79f6303f26648e9591593eb3198fe52660ac4,WindowsServer2016,hqsrootca.cpc.com.tw
f48f00d9b2c35f02e930f6a4d57986ce7f0b6888,WindowsServer2016,hqsbd16p3.cpc.com.tw
f599675d364e4c479c0938ffe860ebe203031e62,WindowsServer2016,hqspivsion.cpc.com.tw
f710376a2d512639b59fd3f5b778c55e3ede5638,WindowsServer2016,hqsfilep.cpc.com.tw
f726e4e3f453b7227f6547fd87d99fba4bd64729,WindowsServer2016,hqsmfea16v.cpc.com.tw
fb75b91d9022921bf128c6c5562fc7708b6afb66,WindowsServer2016,hqsbd16p1.cpc.com.tw
fc3bf596cb873cc7f4aeb1e9a042c99a7b19c89a,WindowsServer2012R2,hqsvr8.cpc.com.tw
fdbc6cb05697114237a19939fdb677ed7c6ec696,Windows10,hqna005200-9133.cpc.com.tw
ff45fd944ea3dc3481923b31a4ba62184ffb86f5,WindowsServer2016,hqspi.cpc.com.tw
ffc6946ce417cda924f8bf25d6f7fce1d92e05ae,Windows10,hqca000100-8905.cpc.com.tw
