"$table"
AuditLogs
AzureDiagnostics
AzureMetrics
BehaviorAnalytics
"DHCPLOG_CL"
DeviceEvents
DeviceFileCertificateInfo
DeviceFileEvents
DeviceImageLoadEvents
DeviceInfo
DeviceLogonEvents
DeviceNetworkEvents
DeviceNetworkInfo
DeviceProcessEvents
DeviceRegistryEvents
DnsEvents
DnsInventory
Event
Heartbeat
IdentityInfo
IntuneDeviceComplianceOrg
IntuneDevices
OfficeActivity
Operation
Perf
ProtectionStatus
SecurityAlert
SecurityBaseline
SecurityBaselineSummary
SecurityEvent
SecurityIncident
SigninLogs
SqlAtpStatus
SqlVulnerabilityAssessmentScanStatus
Syslog
Update
UpdateSummary
Usage
UserPeerAnalytics
W3CIISLog
WindowsFirewall
